timestamp_kst,equity,daily_pnl,total_pnl,unrealized,cum_pnl_with_unrealized,position_count,long_count,short_count,seed_used_pct,seed_used,mdd,current_dd,source_ts
2026-05-10 14:56:38,4922.87,5.0,-22.13,-24.7,-22.13,3,3,0,17.96,884.21,-0.97,-0.55,2026-05-10T14:55:37.538969+09:00
2026-05-10 17:04:01,4946.65,5.0,1.65,-0.97,1.65,3,3,0,17.99,889.93,-0.97,-0.21,2026-05-10T17:03:07.663460+09:00
2026-05-10 19:06:27,4962.14,45.32,17.14,-26.09,17.14,3,3,0,17.82,884.41,-0.97,-0.49,2026-05-10T19:04:53.872616+09:00
2026-05-10 20:42:58,4967.37,46.31,22.37,-21.75,22.37,3,3,0,17.83,885.6,-0.97,-0.44,2026-05-10T20:41:54.206881+09:00
2026-05-10 21:59:30,4962.49,46.31,17.49,-27.15,17.49,3,3,0,17.82,884.14,-0.97,-0.55,2026-05-10T21:58:37.117233+09:00
2026-05-10 23:20:55,5001.91,78.53,56.91,-19.68,56.91,3,3,0,12.44,622.02,-0.07,0.0,2026-05-10T23:19:40.723490+09:00
2026-05-11 00:43:44,5058.67,0,113.67,37.14,113.67,3,3,0,17.81,900.83,-0.22,0.0,2026-05-11T00:42:31.014965+09:00
2026-05-11 01:43:30,5102.77,76.45,157.77,5.06,157.77,3,3,0,13.63,695.6,-0.22,-0.06,2026-05-11T01:42:51.880362+09:00
2026-05-11 02:43:03,5133.64,80.25,188.64,32.27,188.64,4,3,1,19.57,1004.57,-0.22,-0.11,2026-05-11T02:41:11.935256+09:00
2026-05-11 03:49:58,5140.93,87.11,195.93,33.3,195.93,3,2,1,17.69,909.36,-0.22,0.0,2026-05-11T03:48:49.102897+09:00
2026-05-11 04:53:47,5140.03,87.03,195.03,31.67,195.03,3,2,1,17.7,910.04,-0.25,-0.16,2026-05-11T04:52:20.697402+09:00
2026-05-11 05:39:18,5125.48,87.04,180.48,17.66,180.48,4,3,1,19.54,1001.62,-0.5,-0.5,2026-05-11T05:38:27.089734+09:00
2026-05-11 06:39:54,5090.34,58.55,145.34,9.36,145.34,3,2,1,13.28,676.08,-1.26,-1.13,2026-05-11T06:38:53.468642+09:00
2026-05-11 07:38:05,5094.1,67.96,149.1,4.36,149.1,4,3,1,15.38,783.32,-1.26,-1.07,2026-05-11T07:37:17.429881+09:00
2026-05-11 08:42:31,5099.17,67.88,154.17,9.4,154.17,4,2,2,21.36,1088.94,-1.26,-0.99,2026-05-11T08:41:51.564905+09:00
2026-05-11 11:26:35,5094.39,71.13,149.39,1.58,149.39,1,0,1,6.02,306.44,-1.26,-1.03,2026-05-11T11:25:44.520413+09:00
